id,text,meaning,sentence,image_url,tug
11,decide,決定する,I can't decide what to eat.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
12,offer,提供する／申し出,He offered me a job.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
13,require,必要とする、要求する,This job requires experience.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
14,share,共有する／分け前,Let's share this cake.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
15,store,保管する／店,You can store files on the cloud.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
16,tend,傾向がある、世話をする,She tends to be late.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
17,concern,心配する／関心、懸念,This issue concerns everyone.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
18,describe,説明する、描写する,Can you describe the scene?,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
19,involve,含む、関与させる,The project involves many people.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
20,reduce,減らす、縮小する,We need to reduce costs.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
21,design,設計する／デザイン,She designed the new logo.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
22,force,強制する／力,Don't force yourself to eat.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
23,limit,制限する／制限,The speed limit is 50 km/h.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
24,bear,耐える、負担する,I can't bear this pain.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
25,affect,影響を与える,The weather affects my mood.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
26,deal,対処する／取引,He can deal with stress well.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
27,avoid,避ける,You should avoid junk food.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
28,relate,関係する,This topic relates to history.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
29,realize,気づく、実現する,I just realized my mistake.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
30,encourage,励ます、促す,My teacher encouraged me to study more.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
31,compare,比較する,Let's compare these two options.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
32,measure,測る／尺度,Can you measure the table?,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
33,exist,存在する,Ghosts don't exist.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
34,mark,印をつける／印、記号,Please mark the correct answer.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
35,challenge,挑戦する／挑戦,This task is a big challenge.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
36,depend,依存する,It depends on the situation.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
37,object,反対する／物体、目的,He objected to the plan.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
38,demand,要求する／需要,The job demands a lot of effort.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
